A,20:13:01:24:11:15
B,20:13:01:30:03:69
C,20:13:01:31:03:09
D,20:13:02:20:15:11
E,20:13:01:24:10:46
F,20:13:01:24:00:43
G,20:13:02:21:01:04
H,20:13:02:18:02:86
I,20:13:02:19:15:17
J,20:13:01:31:01:32
K,20:13:02:20:16:95
L,20:13:01:24:00:28
M,20:11:02:15:01:90
N,20:11:02:15:01:67
O,20:11:02:15:01:42
P,00:12:02:01:00:04
Q,00:12:02:01:08:76
R,20:11:02:15:01:93
S,20:11:02:15:01:17
T,20:11:02:15:01:77
U,20:11:02:15:01:34
V,20:11:02:15:01:83
W,00:12:02:01:06:25
X,00:12:02:01:07:82
Y,20:11:02:15:01:79
